Customer ID,Alternatives,Choice,Price,Energy Loss,Maintenance,Warranty,Spare Parts,Ease of Install,Prob Solver,Quality,Annual Purchase,District
1,A,0,6,6,7,6,6,5,7,5,761,D1
1,B,1,6,6,6,7,9,9,7,5,761,D1
1,C,0,6,5,7,5,3,4,7,6,761,D1
1,D,0,5,5,6,7,8,2,6,5,761,D1
2,A,0,3,4,5,4,4,5,6,4,627,D1
2,B,0,3,4,5,4,7,3,5,5,627,D1
2,C,0,4,5,5,5,5,7,6,4,627,D1
2,D,1,4,5,6,5,4,5,5,6,627,D1
3,A,1,6,6,7,7,6,7,7,6,643,D2
3,B,0,5,6,7,7,5,6,8,6,643,D2
3,C,0,5,6,7,5,5,8,6,5,643,D2
3,D,0,6,5,5,4,2,8,6,5,643,D2
4,A,0,6,6,5,5,4,5,5,5,562,D3
4,B,0,5,5,6,5,4,6,7,5,562,D3
4,C,0,4,4,5,4,6,7,5,3,562,D3
4,D,1,4,4,6,7,7,8,7,5,562,D3
5,A,0,4,4,6,8,7,1,5,4,469,D3
5,B,0,3,4,6,6,3,4,5,3,469,D3
5,C,1,5,5,4,5,6,5,6,4,469,D3
5,D,0,2,3,6,4,4,2,5,3,469,D3
6,A,0,5,4,5,4,6,7,6,5,233,D1
6,B,1,5,6,6,7,9,4,7,5,233,D1
6,C,0,4,6,6,7,7,5,6,5,233,D1
6,D,0,3,5,7,8,5,6,6,4,233,D1
7,A,0,6,6,7,6,3,5,6,6,664,D3
7,B,0,5,5,6,9,7,5,8,5,664,D3
7,C,0,4,5,7,7,5,6,6,6,664,D3
7,D,1,5,6,7,7,6,8,6,6,664,D3
8,A,0,3,4,5,1,3,4,3,4,767,D3
8,B,0,6,4,6,5,5,2,7,5,767,D3
8,C,0,4,5,4,2,3,3,5,4,767,D3
8,D,1,5,5,5,5,4,8,5,5,767,D3
9,A,0,7,6,5,5,7,2,5,6,467,D1
9,B,0,4,5,7,5,7,3,6,4,467,D1
9,C,0,6,6,6,5,7,5,6,6,467,D1
9,D,1,4,5,7,9,4,7,8,6,467,D1
10,A,0,5,5,7,6,6,7,6,5,844,D1
10,B,1,6,5,7,6,5,5,7,5,844,D1
10,C,0,5,5,5,1,2,4,6,5,844,D1
10,D,0,5,4,5,2,6,5,5,5,844,D1
11,A,1,5,5,6,5,6,5,5,5,1722,D3
11,B,0,5,5,7,4,5,4,5,5,1722,D3
11,C,0,5,5,5,5,3,6,7,4,1722,D3
11,D,0,3,3,4,1,2,4,3,3,1722,D3
12,A,0,5,6,6,5,7,2,7,5,928,D1
12,B,0,4,4,7,7,9,7,6,6,928,D1
12,C,0,6,7,7,4,6,5,7,6,928,D1
12,D,1,6,6,9,9,8,6,7,6,928,D1
13,A,1,4,5,8,9,9,8,7,5,466,D2
13,B,0,4,6,5,5,7,3,5,5,466,D2
13,C,0,5,5,7,7,8,4,7,6,466,D2
13,D,0,4,4,4,4,1,4,4,5,466,D2
14,A,0,6,6,5,4,4,5,7,5,211,D1
14,B,0,5,5,9,9,5,5,7,5,211,D1
14,C,1,6,6,6,6,8,6,8,7,211,D1
14,D,0,5,5,5,5,2,8,6,4,211,D1
15,A,0,6,6,6,4,5,5,4,6,696,D2
15,B,1,5,7,6,5,5,5,7,5,696,D2
15,C,0,6,6,5,2,5,5,5,5,696,D2
15,D,0,4,4,5,7,7,5,6,4,696,D2
16,A,0,4,5,5,3,4,2,6,4,894,D3
16,B,1,3,5,5,7,7,2,6,3,894,D3
16,C,0,6,6,4,1,4,1,4,4,894,D3
16,D,0,6,5,4,6,4,2,4,2,894,D3
17,A,0,4,5,5,7,6,3,7,3,1364,D3
17,B,1,4,4,5,6,5,9,6,4,1364,D3
17,C,0,5,5,4,3,4,5,5,5,1364,D3
17,D,0,5,5,4,5,3,8,5,4,1364,D3
18,A,0,5,4,5,6,7,7,6,6,408,D3
18,B,0,5,5,5,5,5,3,5,5,408,D3
18,C,1,5,5,6,8,4,8,7,5,408,D3
18,D,0,1,3,4,4,3,5,3,3,408,D3
19,A,0,5,5,7,5,5,4,6,5,733,D1
19,B,1,6,5,7,8,6,6,6,5,733,D1
19,C,0,4,4,4,3,3,4,5,5,733,D1
19,D,0,4,4,5,4,3,7,5,5,733,D1
20,A,0,3,4,5,6,5,9,5,4,1009,D2
20,B,1,4,5,6,8,6,5,7,4,1009,D2
20,C,0,5,5,5,5,4,5,5,4,1009,D2
20,D,0,4,4,5,5,1,6,5,4,1009,D2
21,A,1,6,5,8,6,6,7,7,6,749,D3
21,B,0,6,7,7,5,5,6,6,5,749,D3
21,C,0,6,6,6,3,6,3,5,6,749,D3
21,D,0,6,5,5,7,5,6,5,6,749,D3
22,A,0,4,5,6,7,9,8,7,6,518,D2
22,B,1,6,6,7,8,7,6,8,6,518,D2
22,C,0,5,5,6,4,3,6,6,5,518,D2
22,D,0,5,6,8,9,9,5,7,5,518,D2
23,A,0,6,6,6,7,8,4,6,6,871,D2
23,B,0,5,6,7,8,6,8,7,4,871,D2
23,C,0,6,6,7,5,5,6,7,5,871,D2
23,D,1,5,6,8,8,7,8,7,6,871,D2
24,A,1,6,6,8,8,5,6,7,6,322,D1
24,B,0,6,5,7,8,5,6,7,5,322,D1
24,C,0,6,5,6,8,4,6,8,6,322,D1
24,D,0,5,5,6,4,7,7,6,4,322,D1
25,A,0,5,6,5,5,2,9,5,7,800,D2
25,B,0,4,4,7,9,6,4,8,5,800,D2
25,C,1,7,7,6,5,6,4,6,6,800,D2
25,D,0,5,5,5,3,6,5,6,4,800,D2
26,A,0,6,6,6,4,5,7,5,6,899,D2
26,B,0,5,6,6,7,6,8,6,3,899,D2
26,C,0,5,4,5,7,4,6,7,6,899,D2
26,D,1,6,5,5,4,5,5,6,7,899,D2
27,A,0,3,4,3,1,3,6,3,3,871,D1
27,B,0,4,5,4,1,5,3,4,5,871,D1
27,C,0,4,3,5,3,2,2,5,4,871,D1
27,D,1,5,5,4,3,4,3,5,5,871,D1
28,A,0,5,5,7,6,3,8,7,6,855,D3
28,B,0,6,6,6,6,9,5,8,6,855,D3
28,C,0,6,6,7,9,9,2,7,7,855,D3
28,D,1,6,7,8,8,9,3,8,6,855,D3
29,A,0,1,3,5,6,7,4,4,3,290,D2
29,B,0,4,4,4,4,6,4,5,5,290,D2
29,C,0,4,5,6,7,5,4,6,4,290,D2
29,D,1,4,6,6,6,7,7,6,5,290,D2
30,A,0,4,4,7,7,5,5,5,4,672,D1
30,B,1,4,5,6,7,5,7,6,4,672,D1
30,C,0,3,5,6,4,4,3,4,3,672,D1
30,D,0,4,4,6,7,5,5,6,4,672,D1
31,A,0,3,4,3,2,1,9,4,4,37,D2
31,B,0,3,4,6,5,6,5,6,4,37,D2
31,C,1,5,5,5,2,4,2,5,4,37,D2
31,D,0,2,3,4,6,6,3,5,2,37,D2
32,A,0,6,4,7,7,6,8,7,5,6270,D1
32,B,0,4,5,6,5,6,7,5,4,6270,D1
32,C,1,7,6,6,7,5,6,7,7,6270,D1
32,D,0,4,6,5,5,5,6,7,4,6270,D1
33,A,0,4,4,5,3,6,6,6,3,890,D3
33,B,0,4,4,5,5,5,2,6,5,890,D3
33,C,0,4,4,4,3,3,5,4,5,890,D3
33,D,1,5,5,5,4,6,2,6,5,890,D3
34,A,0,4,4,4,5,3,5,6,4,355,D2
34,B,0,3,4,5,3,3,6,5,4,355,D2
34,C,0,3,4,4,5,3,6,5,5,355,D2
34,D,1,5,4,5,7,6,4,6,6,355,D2
35,A,0,7,6,7,6,4,5,7,7,14798,D2
35,B,0,5,6,8,7,8,5,7,5,14798,D2
35,C,0,5,5,8,9,9,7,8,5,14798,D2
35,D,1,7,7,7,8,8,7,8,7,14798,D2
36,A,0,5,4,4,2,5,4,5,6,511,D3
36,B,0,4,5,5,4,2,3,5,4,511,D3
36,C,1,4,4,6,5,3,5,5,5,511,D3
36,D,0,3,3,4,3,6,2,4,3,511,D3
37,A,1,5,6,5,6,4,2,7,5,767,D2
37,B,0,4,5,5,5,4,8,6,7,767,D2
37,C,0,5,5,7,8,7,8,6,5,767,D2
37,D,0,5,5,5,3,4,6,6,6,767,D2
38,A,1,5,5,5,4,6,9,6,6,182,D2
38,B,0,4,5,5,3,4,7,4,5,182,D2
38,C,0,3,4,7,6,6,5,7,3,182,D2
38,D,0,4,3,6,6,6,7,6,4,182,D2
39,A,0,5,6,7,8,5,5,9,5,796,D1
39,B,0,6,7,6,5,4,6,7,5,796,D1
39,C,1,6,6,7,7,7,6,8,6,796,D1
39,D,0,6,5,4,2,3,9,5,5,796,D1
40,A,0,4,5,5,4,9,7,5,5,808,D1
40,B,0,5,4,6,5,6,3,6,4,808,D1
40,C,1,5,6,6,4,5,6,6,6,808,D1
40,D,0,5,5,6,9,6,6,7,5,808,D1
41,A,1,5,5,6,8,3,2,7,6,444,D1
41,B,0,4,5,5,5,6,3,5,5,444,D1
41,C,0,4,6,8,9,8,6,7,5,444,D1
